grubhub_slug,grubhub_business_hours,ubereats_slug,ubereats_business_hours,is_out_range
goldenbear_villagecaf_gh,10080,goldenbearsandw_sicilianpizzabr_ue,1439,Out of Range
highlifeco_sicilianpi_gh,6600,highlifecoffees_sicilianpizzapa_ue,10073,Out of Range
thesandwic_citideli_gh,6480,thesandwichcafe_headlinesdiner_ue,4800,Out of Range
firstlight_marhabaind_gh,10080,firstlightbreak_lemontreegourme_ue,10073,Out of Range
sandwichon_milanspiz_gh,7980,sandwichonfleek_lemontreegourme_ue,10073,Out of Range
phillychee_hudsonmark_gh,7020,phillycheeseste_michaelangelosp_ue,1020,Out of Range
sashassan_omegasalad_gh,10080,sashassandwiche_remedydiner_ue,10073,Out of Range
chucksfri_headlinesd_gh,10080,chucksfriedchic_sicilianpizzapa_ue,10073,Out of Range
josesburritobar_paninicafe_gh,10080,josesburritobar_paninicafe_ue,10073,Out of Range
janesjuic_mariotheba_gh,7560,janesjuicebar_heavenlymarketi_ue,8634,Out of Range
juliasjui_wesamdeli_gh,10080,juliasjuiceshac_citideli_ue,10073,Out of Range
chucksche_aladdinsk_gh,10080,chuckscheeseste_chelseafinefood_ue,10073,Out of Range
dannysdes_marhabaind_gh,3930,dannysdesserts_milanspizzeriap_ue,870,Out of Range
chiefsche_theorigina_gh,7140,chiefscheeseste_plazagourmetdel_ue,7140,In Range
halalcheesestea_frescopizzagril_gh,7995,halalchees_frescopizz_ue,5550,Out of Range
wonkassmoothieb_princedelimarke_gh,10080,wonkassmoothieb_princedelimarke_ue,8460,Out of Range
jjsphilly_salsplace_gh,6300,jjsphillycheese_omegasaladbarde_ue,6930,Out of Range
highlifeco_hudsonmark_gh,8400,highlifecoffees_hudsonmarketpla_ue,1439,Out of Range
theburgerh_olivesorga_gh,7140,theburgerhole_allnitepizza_ue,5880,Out of Range
villagebreakfas_princedelimarke_gh,10080,villagebreakfas_princedelimarke_ue,8460,Out of Range
goldenbear_mariotheba_gh,7560,goldenbearsandw_heavenlymarketi_ue,10073,Out of Range
curtisfriedchic_chelseapapaya_gh,10080,curtisfriedchic_chelseapapaya_ue,10073,Out of Range
scottysba_mariotheba_gh,10080,scottysbagelexp_heavenlymarketi_ue,1439,Out of Range
firstlight_marhabaind_gh,10080,firstlightbreak_lemontreegourme_ue,1439,Out of Range
thepaniniprojec_princedelimarke_gh,9090,thepaniniprojec_princedelimarke_ue,8460,Out of Range
lucasphil_allnitepiz_gh,5400,lucasphillychee_mrpizzaman_ue,720,Out of Range
padthaisno_goldstreet_gh,3825,padthaisnob_canteendesidhab_ue,3120,Out of Range
indianbiryanisn_desideli_gh,8610,indianbiryanisn_desideli_ue,10073,Out of Range
marthasbr_plazamarke_gh,7560,marthasbreakfas_wesamdeli_ue,7140,Out of Range
charliesc_mrpizzama_gh,20160,charlieschicken_bigfamousdeligr_ue,10073,Out of Range
bensbuffa_headlinesd_gh,10080,bensbuffalowing_sicilianpizzapa_ue,1020,Out of Range
charliescco_villagecaf_gh,10080,charliescalzone_sicilianpizzabr_ue,720,Out of Range
goodplanetvegan_chelseapapaya_gh,10080,goodplanetvegan_chelseapapaya_ue,1439,Out of Range
theburgers_miyucatan_gh,7980,theburgerstack_lemontreegourme_ue,10073,Out of Range
thepancakesnob_heavenlyma_gh,7140,thepancakesnob_1stavegourmetde_ue,6840,Out of Range
theacaista_allnitepiz_gh,6450,theacaistation_eastsidedeli_ue,900,Out of Range
mollyschi_olivesorga_gh,7560,mollyschickenwi_allnitepizza_ue,5880,Out of Range
firenzepas_headlinesd_gh,10080,firenzepastaris_sicilianpizzapa_ue,10073,Out of Range
thebreakfa_plazamarke_gh,7140,thebreakfastdre_wesamdeli_ue,7140,In Range
originofch_eastsidede_gh,20160,originofcheesec_bigfamousdeligr_ue,10073,Out of Range
beemansbu_wesamdeli_gh,8400,beemansburgerba_citideli_ue,10073,Out of Range
princesspanini_paninicafe_gh,7560,princesspanini_paninicafe_ue,10073,Out of Range
dannysdes_chelseafin_gh,5640,dannysdesserts_saranbrothersll_ue,5220,Out of Range
patricias_citideli_gh,6480,patriciaspanini_headlinesdiner_ue,4800,Out of Range
marysomel_aladdinsk_gh,10080,marysomeletteba_chelseafinefood_ue,10073,Out of Range
insomniabu_heavenlyma_gh,6420,insomniabuffalo_1stavegourmetde_ue,7140,Out of Range
empirestat_heavenlyma_gh,7110,empirestatepani_1stavegourmetde_ue,7140,Out of Range
pennyspancakes_princedelimarke_gh,9090,pennyspancakes_princedelimarke_ue,8460,Out of Range
wonkassmo_canteendes_gh,6300,wonkassmoothieb_americanchoiceg_ue,1439,Out of Range
thesaladgo_hudsonmark_gh,6660,thesaladgod_michaelangelosp_ue,600,Out of Range
breakfastb_villagecaf_gh,10080,breakfastburrit_plazamarketquee_ue,1439,Out of Range
pardonmypa_plazamarke_gh,5880,pardonmypanini_plazamarketquee_ue,1439,Out of Range
theburgerc_remedydine_gh,5640,theburgerco_1upbistro_ue,540,Out of Range
mufasaspa_headlinesd_gh,10080,mufasaspancakes_hudsonmarketpla_ue,1439,Out of Range
thechicken_gaters_gh,5640,thechickenaffai_miyucatan_ue,780,Out of Range
patricias_originalpi_gh,8400,patriciaspanini_olivesorganicma_ue,1140,Out of Range
thegyrosho_plazamarke_gh,7140,thegyroshop_wesamdeli_ue,7560,Out of Range
villageque_plazamarke_gh,7560,villagequesadil_wesamdeli_ue,7560,In Range
londonsfishnchi_chelseapapaya_gh,10080,londonsfishnchi_chelseapapaya_ue,1439,Out of Range
theomelett_1upbistro_gh,7140,theomelettefarm_plazagourmetdel_ue,1439,Out of Range
friedchick_villagecaf_gh,10080,friedchickenco_sicilianpizzabr_ue,1439,Out of Range
themontage_heavenlyma_gh,7575,themontageveget_aladdinskitchen_ue,1080,Out of Range
bosscatche_paninicafe_gh,5310,bosscatcheesest_villagecafegril_ue,4680,Out of Range
thecheeseb_wesamdeli_gh,7980,thecheeseburger_citideli_ue,1439,Out of Range
theburrito_allnitepiz_gh,5400,theburritotaque_mrpizzaman_ue,690,Out of Range
siponsmoot_allnitepiz_gh,6480,siponsmoothie_eastsidedeli_ue,960,Out of Range
thejuiceaf_wesamdeli_gh,7980,thejuiceaffair_citideli_ue,1439,Out of Range
nancysgrilledch_wesamdeli_gh,7560,nancysgrilledch_wesamdeli_ue,7140,Out of Range
theitalian_bigfamousd_gh,1050,theitalianpizza_modenapizzaicec_ue,960,Out of Range
freshnfrui_1upbistro_gh,10080,freshnfruitysmo_plazagourmetdel_ue,7140,Out of Range
fionaspan_remedydine_gh,5640,fionaspancakeba_1upbistro_ue,5880,Out of Range
fionasveg_americanch_gh,7560,fionasveganpizz_allnitepizza_ue,1020,Out of Range
fionasfre_1upbistro_gh,5220,fionasfrenchtoa_farmerspizzagri_ue,840,Out of Range
tiastorta_gaters_gh,5640,tiastortas_miyucatan_ue,780,Out of Range
masonsbur_remedydine_gh,8400,masonsburgerbar_seaportdeli_ue,4320,Out of Range
healthysal_sicilianpi_gh,5670,healthysaladbar_mariothebaker_ue,809,Out of Range
theshawarmabar_frescopizzagril_gh,7995,theshawarmabar_frescopizz_ue,5550,Out of Range
